mz_rt	6	10	14	18	20	26	34	35	43	49	61	69	73	74	76	77	84	93	96	99	101	105	111	113	119	132	151	154	160	blank1	blank2	blank3	blank4	QC00	QC0	QC1	QC2	QC3	QC4	QC5
415.21111_1.124	2067935141	1871812662	1972668444	2524586535	1816601584	2234093047	2141378178	2409208955	24254241.55	2654530747	1630837850	2303831675	35673945.64	31174345.14	2202826797	2645374006	2098267156	1558861415	2775912996	2104638630	2712683436	2643916814	2246410779	2132430045	1770163761	2026280656	2767301460	16456751.97	2435079163	3691080.614	1742577.293	3928739.738	3777043.751	2189899917	2205165520	2178038332	2196846703	2200918592	2191415748	2200122022
330.33658_1.901	745500765.2	1519165052	1428422334	671474842.5	706479953.1	71190417.36	1506731007	1487947567	2740207856	2443495227	1291411093	2335260516	1174395408	1991403597	1733901835	1367380937	1830287850	2195006386	1760093034	736683969.9	80170325.05	55349716.53	183251222.3	68160213.91	55044021.32	686764632	2475365057	429087712.2	149563223.5	60420104.64	58249201.76	62349157.58	61405627.56	1381022349	1390032282	1380638855	1382881976	1378460072	1380347466	1389655819
358.36782_2.25	359534284.2	1098701333	1007049990	495736775.3	426970075.2	64625963.29	1717584256	1345421275	2625517170	2263605695	813093293.6	2022332757	945405539.7	2176566836	1553142164	1135916967	1366803968	1583614729	1618740683	670767536.4	60105417.78	40617791.01	333045737.7	74993450.35	44817146.03	646237052.8	1920067558	349746701.7	183082626.5	54899464.22	54898003.72	55041753.07	55306326.09	1225980202	1222838988	1193605730	1222546241	1220779746	1220111689	1212651550
356.35218_1.989	617157623.6	897284230.3	1101067610	299342221.9	518270471	76427715.11	514379882.5	853029532.3	2057618948	2204628413	1131851576	1674357750	1161474208	1031587173	1054176882	689741575.7	1613300511	2085055293	588833206.9	172993977	67038254.14	45083056.83	55901038.45	54318897.67	42426120.98	198743827.7	1775127189	426102943.1	73017856.39	48705542.06	47933462.3	51308425.54	50470757.51	1038238511	1035122817	1036036079	1040787401	1042728546	1031157390	1032288406
374.3627_1.886	103162485.9	239288277.9	204957119.6	81922911.81	109853919.7	5087085.397	265208406.7	243134292.4	1360843790	348627445.4	229120561	338714460.2	192486480.4	336354353.4	280153301.5	221844202.7	282895694	329213293.5	328952901.8	87814895.87	5838350.129	4129382.14	9916412.082	5406180.19	4669855.807	148023539	371928318.4	46880669.3	6223538.576	4841344.069	4738825.336	5611923.188	5513576.757	234441717.1	242604795.8	240041426.7	238729698.2	228858153.8	300870261.9	209222426.9
356.35223_2.046	273499871.6	550319765.1	596724713.5	176810886.4	259545895.4	33288268.04	366014126.5	468905179.8	1402592076	1098486333	543461526.5	1053690879	545870526.2	553788049.1	584941569.2	417905175.7	938975438.6	1102106695	436031473.1	133336762.9	37023155.01	24114920.28	32806574.26	28787535.91	25398405.06	160683002.3	1211208048	144058031.9	38318741.77	20461364.93	21958440.14	21702167.48	21585133.14	536989137.1	551551902	538073579.7	535689607.2	538739318.7	540389264.5	541904807.9
760.58483_5.57	20547828.88	45988185.9	43387461.23	23047008.72	11392437.98	32026803.35	211339779.8	120867934.1	694224768.1	966370339.7	34972501.9	206368895.8	41958053.53	392301383.6	155552053.5	95045404.38	53425992.41	135315909.1	304143036.5	18295922.92	18683846.8	162429725.4	219361113	24261953.49	121088434.1	49198234.49	106472590.6	19027529.42	275559282.3	558047.3042	611723.4055	536849.6511	498841.6029	159736695.1	160524553.9	160562124.3	160546758.9	160193584.8	159427210.1	160555943.7
596.5976_6.76	238861361.8	294219201.2	285383089.9	150392111.2	177169489.4	4719135.726	334985910.3	338270970.4	619309133	706197997.4	136786232.2	519930321.2	240532840.5	415401608.8	431434244	309053329.8	628004340.9	826827033.9	486924497.9	76107119.24	690336.0771	1229248.216	15577885.83	2184773.128	1613041.345	101946204	516990226	31904441.05	11770121.14	673477.5833	684456.3752	633617.629	560011.4469	260177117.3	269152977	267852527.1	276943140.4	267062780.8	272093262.3	271015033.4
758.56949_4.858	57902403.11	45396382.43	58957475.12	42838326.98	27255124.6	81622699.86	272389939.2	203391847.8	691945073.6	803988490.6	42048475.79	335213732.6	49468993.56	410274667.5	210771848.3	161527200.4	94710656.69	205780247.8	868553165.3	10304758.88	14788947.06	181598396.7	278897610.3	31922893.85	295458589.1	45280934.98	194181160.4	15104324.43	398572714.8	235140.1577	166118.206	161029.604	152370.5694	264095957.8	261967732.3	261212918.7	263724070.5	263110612.9	259890392.3	261678979.3
736.58672_4.856	53122975.56	42525758.79	54721477.15	39756906.98	25309919.08	74803394.92	243618428	189773907.8	640453053.8	750811916.3	39985098.1	316774183	45796486.58	362351572.9	195751883.5	151688415.5	78116299.21	210740117.3	787577562.5	9386724.753	13916764.36	160668313.1	249923818	29746527.45	269094327.2	41227102.72	181073237.1	13624857.18	371359786.5	144388.8523	112081.7283	123213.4587	102881.4336	249441207.1	248062721.6	246054671	248086074.1	247556555.2	248286994.3	246169725.2
