mz	rt	IonMode
1	415.21111	1.124	Positive
2	330.33658	1.901	Positive
3	358.36782	2.25	Positive
4	356.35218	1.989	Positive
5	374.3627	1.886	Positive
6	356.35223	2.046	Positive
7	760.58483	5.57	Positive
8	596.5976	6.76	Positive
9	758.56949	4.858	Positive
10	736.58672	4.856	Positive
11	786.60054	5.817	Positive
12	594.5819	6.039	Positive
13	388.25418	0.761	Positive
14	874.78543	8.829	Positive
15	852.803	8.793	Positive
16	432.28037	0.758	Positive
17	622.6132	6.788	Positive
18	393.32928	1.449	Positive
19	374.3627	1.886	Positive
20	327.20143	0.763	Positive
21	640.62421	6.782	Positive
22	784.58462	4.875	Positive
23	788.61662	6.548	Positive
24	459.28024	0.757	Positive
25	568.56623	5.964	Positive
26	620.59742	6.137	Positive
27	402.39386	2.229	Positive
28	902.81638	9.263	Positive
29	520.33303	0.755	Positive
30	624.62884	7.206	Positive
31	880.83361	9.257	Positive
32	634.45226	1.9	Positive
33	900.80087	8.907	Positive
34	634.45249	1.898	Positive
35	590.42596	1.913	Positive
36	328.32096	1.588	Positive
37	900.80084	8.801	Positive
38	898.78503	8.438	Positive
39	590.42635	1.913	Positive
40	460.26912	1.141	Positive
41	354.33659	1.768	Positive
42	876.80093	9.202	Positive
43	878.81769	8.803	Positive
44	400.37827	1.972	Positive
45	900.80126	8.804	Positive
46	898.78558	8.444	Positive
47	850.78572	9.232	Positive
48	703.57498	4.442	Positive
49	678.47846	1.89	Positive
50	678.47855	1.89	Positive
51	1444.88349	0.725	Positive
52	564.35923	0.754	Positive
53	1488.90965	0.726	Positive
54	1400.8569	0.726	Positive
55	1532.93538	0.728	Positive
56	372.34713	1.743	Positive
57	546.40006	1.924	Positive
58	283.17515	0.764	Positive
59	1356.83078	0.727	Positive
60	302.30531	1.456	Positive
61	722.50448	1.879	Positive
62	872.76965	8.461	Positive
63	546.40028	1.925	Positive
64	1312.80465	0.727	Positive
65	722.50483	1.882	Positive
66	872.77001	8.462	Positive
67	876.80105	9.286	Positive
68	594.5829	6.735	Positive
69	846.4409	1.212	Positive
70	815.70028	7.446	Positive
71	878.8165	9.472	Positive
72	1268.77867	0.728	Positive
73	904.8319	9.455	Positive
74	843.73111	8.045	Positive
75	819.51163	0.723	Positive
76	620.5976	6.286	Positive
77	813.68434	6.895	Positive
78	851.39586	1.173	Positive
79	1665.0136	0.723	Positive
80	592.56645	5.192	Positive
81	400.37832	2.029	Positive
82	402.66721	2.19	Positive
83	778.55267	3.286	Positive
84	460.41777	2.429	Positive
85	766.53046	1.87	Positive
86	618.58189	5.298	Positive
87	786.60038	5.592	Positive
88	766.53085	1.875	Positive
89	608.3857	0.753	Positive
90	374.36267	2.393	Positive
91	775.48488	0.734	Positive
92	848.7701	8.856	Positive
93	753.47147	0.731	Positive
94	502.37394	1.934	Positive
95	746.60615	6.378	Positive
96	487.97523	0.72	Positive
97	731.45928	0.74	Positive
98	1224.75244	0.729	Positive
99	972.73349	6.588	Positive
100	722.71817	2.251	Positive
101	709.44598	0.729	Positive
102	902.81631	9.172	Positive
103	734.57002	5.537	Positive
104	666.6555	1.903	Positive
105	602.99077	2.189	Positive
106	665.41968	0.743	Positive
107	1576.96213	0.727	Positive
108	486.43356	2.467	Positive
109	531.27428	2.134	Positive
110	764.53801	3.286	Positive
111	841.52426	0.73	Positive
112	545.29315	1.952	Positive
113	344.35227	2.097	Positive
114	878.85431	9.843	Positive
115	860.84196	9.843	Positive
116	718.68675	1.989	Positive
117	1753.06521	0.725	Positive
118	1929.17042	0.722	Positive
119	848.76965	8.775	Positive
120	1973.19623	0.72	Positive
121	819.51122	0.718	Positive
122	951.59013	0.725	Positive
123	797.99968	0.741	Positive
124	810.55684	1.859	Positive
